"Date","Additions","Deletions"
"2010-07-25 00:00:00",225264,-63314
"2010-08-01 00:00:00",552664,-360
"2010-08-08 00:00:00",218,-140
"2010-08-15 00:00:00",175,-122
"2010-08-22 00:00:00",45,-33
"2010-08-29 00:00:00",30,-26
"2010-09-05 00:00:00",0,0
"2010-09-12 00:00:00",21,-21
"2010-09-19 00:00:00",152,-119
"2010-09-26 00:00:00",237,-64
"2010-10-03 00:00:00",0,0
"2010-10-10 00:00:00",61,-26
"2010-10-17 00:00:00",8,-8
"2010-10-24 00:00:00",3,-3
"2010-10-31 00:00:00",775,-620
"2010-11-07 00:00:00",81473,-357701
"2010-11-14 00:00:00",1265,-1205
"2010-11-21 00:00:00",6,-2
"2010-11-28 00:00:00",0,0
"2010-12-05 00:00:00",16,-17
"2010-12-12 00:00:00",0,0
"2010-12-19 00:00:00",14,-7
"2010-12-26 00:00:00",2882,-2879
"2011-01-02 00:00:00",23661,-396
"2011-01-09 00:00:00",61,-56
"2011-01-16 00:00:00",35136,-34259
"2011-01-23 00:00:00",10,-10
"2011-01-30 00:00:00",318,-321
"2011-02-06 00:00:00",134,-109
"2011-02-13 00:00:00",486,-1267
"2011-02-20 00:00:00",438,-400
"2011-02-27 00:00:00",25463,-24897
"2011-03-06 00:00:00",8027,-3900
"2011-03-13 00:00:00",522,-451
"2011-03-20 00:00:00",805,-781
"2011-03-27 00:00:00",4,-4
"2011-04-03 00:00:00",34,-27
"2011-04-10 00:00:00",0,0
"2011-04-17 00:00:00",198,-173
"2011-04-24 00:00:00",788,-249
"2011-05-01 00:00:00",1182,-395
"2011-05-08 00:00:00",1548,-451
"2011-05-15 00:00:00",5612,-5296
"2011-05-22 00:00:00",0,0
"2011-05-29 00:00:00",214,-149
"2011-06-05 00:00:00",93,-65
"2011-06-12 00:00:00",0,0
"2011-06-19 00:00:00",0,0
"2011-06-26 00:00:00",24,0
"2011-07-03 00:00:00",0,0
"2011-07-10 00:00:00",129,-79
"2011-07-17 00:00:00",703,-283
"2011-07-24 00:00:00",519,-379
"2011-07-31 00:00:00",262,-195
"2011-08-07 00:00:00",731,-174
"2011-08-14 00:00:00",1457,-1087
"2011-08-21 00:00:00",1510,-1357
"2011-08-28 00:00:00",562,-414
"2011-09-04 00:00:00",840,-449
"2011-09-11 00:00:00",49,-33
"2011-09-18 00:00:00",511,-425
"2011-09-25 00:00:00",163,-155
"2011-10-02 00:00:00",0,0
"2011-10-09 00:00:00",0,0
"2011-10-16 00:00:00",235,-210
"2011-10-23 00:00:00",517,-216
"2011-10-30 00:00:00",15806,-104
"2011-11-06 00:00:00",52,-30
"2011-11-13 00:00:00",128,-111
"2011-11-20 00:00:00",120,-85
"2011-11-27 00:00:00",0,0
"2011-12-04 00:00:00",33,-35
"2011-12-11 00:00:00",29,-26
"2011-12-18 00:00:00",13,-11
"2011-12-25 00:00:00",53,-22
"2012-01-01 00:00:00",300,-145
"2012-01-08 00:00:00",1540,-1050
"2012-01-15 00:00:00",2766,-358
"2012-01-22 00:00:00",1875,-630
"2012-01-29 00:00:00",358,-317
"2012-02-05 00:00:00",493,-455
"2012-02-12 00:00:00",6642,-2958
"2012-02-19 00:00:00",8698,-2263
"2012-02-26 00:00:00",292,-267
"2012-03-04 00:00:00",92,-88
"2012-03-11 00:00:00",165,-211
"2012-03-18 00:00:00",106,-30
"2012-03-25 00:00:00",19,-16
"2012-04-01 00:00:00",7,-6
"2012-04-08 00:00:00",87,-85
"2012-04-15 00:00:00",0,0
"2012-04-22 00:00:00",0,0
"2012-04-29 00:00:00",3,-3
"2012-05-06 00:00:00",0,0
"2012-05-13 00:00:00",97,-94
"2012-05-20 00:00:00",0,0
"2012-05-27 00:00:00",0,0
"2012-06-03 00:00:00",0,0
"2012-06-10 00:00:00",0,0
"2012-06-17 00:00:00",17,-15
"2012-06-24 00:00:00",0,0
"2012-07-01 00:00:00",0,0
"2012-07-08 00:00:00",0,0
"2012-07-15 00:00:00",0,0
"2012-07-22 00:00:00",0,0
"2012-07-29 00:00:00",0,0
"2012-08-05 00:00:00",0,0
"2012-08-12 00:00:00",766,-593
"2012-08-19 00:00:00",593,-507
"2012-08-26 00:00:00",578,-405
"2012-09-02 00:00:00",498,-290
"2012-09-09 00:00:00",27,-36
"2012-09-16 00:00:00",0,0
"2012-09-23 00:00:00",430,-45622
"2012-09-30 00:00:00",30,-22
"2012-10-07 00:00:00",0,0
"2012-10-14 00:00:00",5,-3
"2012-10-21 00:00:00",0,0
"2012-10-28 00:00:00",0,-1
"2012-11-04 00:00:00",0,0
"2012-11-11 00:00:00",0,0
"2012-11-18 00:00:00",0,0
"2012-11-25 00:00:00",106,-100
"2012-12-02 00:00:00",0,0
"2012-12-09 00:00:00",0,0
"2012-12-16 00:00:00",25,-6
"2012-12-23 00:00:00",24,-6
"2012-12-30 00:00:00",0,0
"2013-01-06 00:00:00",0,0
"2013-01-13 00:00:00",2,-2
"2013-01-20 00:00:00",0,0
"2013-01-27 00:00:00",269,-54
"2013-02-03 00:00:00",390,-112
"2013-02-10 00:00:00",64,-49
"2013-02-17 00:00:00",990,-206
"2013-02-24 00:00:00",476,-97
"2013-03-03 00:00:00",155,-62
"2013-03-10 00:00:00",3,-1
"2013-03-17 00:00:00",198,-48
"2013-03-24 00:00:00",75,-28
"2013-03-31 00:00:00",1956,-1726
"2013-04-07 00:00:00",2352,-936
"2013-04-14 00:00:00",287,-333
"2013-04-21 00:00:00",1223,-517
"2013-04-28 00:00:00",3509,-2287
"2013-05-05 00:00:00",34,-27
"2013-05-12 00:00:00",137,-69
"2013-05-19 00:00:00",1435,-463
"2013-05-26 00:00:00",239,-72
"2013-06-02 00:00:00",103,-8
"2013-06-09 00:00:00",2,-3
"2013-06-16 00:00:00",0,0
"2013-06-23 00:00:00",0,0
"2013-06-30 00:00:00",0,0
"2013-07-07 00:00:00",0,0
"2013-07-14 00:00:00",0,0
"2013-07-21 00:00:00",0,0
"2013-07-28 00:00:00",2147,-2780
"2013-08-04 00:00:00",647,-176
"2013-08-11 00:00:00",0,0
"2013-08-18 00:00:00",0,0
"2013-08-25 00:00:00",25,-14
"2013-09-01 00:00:00",7,-2
"2013-09-08 00:00:00",19,-10
"2013-09-15 00:00:00",24,-16
"2013-09-22 00:00:00",3724,-391
"2013-09-29 00:00:00",263,-237
"2013-10-06 00:00:00",79883,-122
"2013-10-13 00:00:00",1093,-188
"2013-10-20 00:00:00",7233,-5631
"2013-10-27 00:00:00",1276,-49
"2013-11-03 00:00:00",688,-277
"2013-11-10 00:00:00",15464,-3671
"2013-11-17 00:00:00",48,-24
"2013-11-24 00:00:00",0,0
"2013-12-01 00:00:00",0,0
"2013-12-08 00:00:00",0,0
"2013-12-15 00:00:00",0,0
"2013-12-22 00:00:00",0,0
"2013-12-29 00:00:00",0,0
"2014-01-05 00:00:00",24,-24
"2014-01-12 00:00:00",42,-27
"2014-01-19 00:00:00",1,-1
"2014-01-26 00:00:00",0,0
"2014-02-02 00:00:00",158,-101
"2014-02-09 00:00:00",281,-106
"2014-02-16 00:00:00",238,-140
"2014-02-23 00:00:00",0,0
"2014-03-02 00:00:00",20,-7
"2014-03-09 00:00:00",40,-14
"2014-03-16 00:00:00",367,-132
"2014-03-23 00:00:00",0,0
"2014-03-30 00:00:00",0,0
"2014-04-06 00:00:00",158,-121
"2014-04-13 00:00:00",0,0
"2014-04-20 00:00:00",4075,-443
"2014-04-27 00:00:00",3145,-3015
"2014-05-04 00:00:00",3085,-2538
"2014-05-11 00:00:00",1260,-1144
"2014-05-18 00:00:00",34,-28
"2014-05-25 00:00:00",135,-63
"2014-06-01 00:00:00",841,-798
"2014-06-08 00:00:00",1188,-923
"2014-06-15 00:00:00",0,0
"2014-06-22 00:00:00",8,-4
"2014-06-29 00:00:00",0,0
"2014-07-06 00:00:00",1,-1
"2014-07-13 00:00:00",22,0
"2014-07-20 00:00:00",0,0
"2014-07-27 00:00:00",1150,-4
"2014-08-03 00:00:00",0,-1
"2014-08-10 00:00:00",194,-85
"2014-08-17 00:00:00",257,-182
"2014-08-24 00:00:00",20,-5
"2014-08-31 00:00:00",124,-59
"2014-09-07 00:00:00",200,-149
"2014-09-14 00:00:00",170,-73
"2014-09-21 00:00:00",0,0
"2014-09-28 00:00:00",0,0
"2014-10-05 00:00:00",0,0
"2014-10-12 00:00:00",16,-10
"2014-10-19 00:00:00",0,0
"2014-10-26 00:00:00",0,0
"2014-11-02 00:00:00",44,-30
"2014-11-09 00:00:00",0,-1
"2014-11-16 00:00:00",3,-3
"2014-11-23 00:00:00",131,-3
"2014-11-30 00:00:00",198,-166
"2014-12-07 00:00:00",1,-1
"2014-12-14 00:00:00",4809,-1931
"2014-12-21 00:00:00",18,-10
"2014-12-28 00:00:00",1367,-858
"2015-01-04 00:00:00",229,-20
"2015-01-11 00:00:00",68,-49
"2015-01-18 00:00:00",38,-27
"2015-01-25 00:00:00",4639,-5594
"2015-02-01 00:00:00",1,-2
"2015-02-08 00:00:00",188,-147
"2015-02-15 00:00:00",156,-157
"2015-02-22 00:00:00",2321,-567
"2015-03-01 00:00:00",812,-409
"2015-03-08 00:00:00",3077,-641
"2015-03-15 00:00:00",1646,-691
"2015-03-22 00:00:00",595,-88
"2015-03-29 00:00:00",1604,-202
"2015-04-05 00:00:00",147,-72
"2015-04-12 00:00:00",193,-96
"2015-04-19 00:00:00",101,-88
"2015-04-26 00:00:00",45,-35
"2015-05-03 00:00:00",0,0
"2015-05-10 00:00:00",0,0
"2015-05-17 00:00:00",0,0
"2015-05-24 00:00:00",0,0
"2015-05-31 00:00:00",0,0
"2015-06-07 00:00:00",0,0
"2015-06-14 00:00:00",0,0
"2015-06-21 00:00:00",0,0
"2015-06-28 00:00:00",3,-3
"2015-07-05 00:00:00",73,-34
"2015-07-12 00:00:00",52,-43
"2015-07-19 00:00:00",201,-60
"2015-07-26 00:00:00",22,-9
"2015-08-02 00:00:00",1384,-215
"2015-08-09 00:00:00",104,-34
"2015-08-16 00:00:00",829,-471
"2015-08-23 00:00:00",472,-424
"2015-08-30 00:00:00",2744,-1443
"2015-09-06 00:00:00",759,-65
"2015-09-13 00:00:00",4309,-2143
"2015-09-20 00:00:00",0,0
"2015-09-27 00:00:00",76,-23
"2015-10-04 00:00:00",121,-105
"2015-10-11 00:00:00",57,-23
"2015-10-18 00:00:00",1,0
"2015-10-25 00:00:00",7,-2
"2015-11-01 00:00:00",32,-10
"2015-11-08 00:00:00",0,0
"2015-11-15 00:00:00",298,-4
"2015-11-22 00:00:00",12,-20
"2015-11-29 00:00:00",94,-80
"2015-12-06 00:00:00",82,-19
"2015-12-13 00:00:00",247,-248
"2015-12-20 00:00:00",19,-13
"2015-12-27 00:00:00",2374,-1738
"2016-01-03 00:00:00",0,0
"2016-01-10 00:00:00",0,0
"2016-01-17 00:00:00",0,0
"2016-01-24 00:00:00",171,-73
"2016-01-31 00:00:00",96,-58
"2016-02-07 00:00:00",353,-347
"2016-02-14 00:00:00",0,0
"2016-02-21 00:00:00",9,-2
"2016-02-28 00:00:00",0,0
"2016-03-06 00:00:00",0,0
"2016-03-13 00:00:00",0,0
"2016-03-20 00:00:00",3,-3
"2016-03-27 00:00:00",0,0
"2016-04-03 00:00:00",10,-10
"2016-04-10 00:00:00",0,0
"2016-04-17 00:00:00",2,-2
"2016-04-24 00:00:00",17,-27
"2016-05-01 00:00:00",18,-9
"2016-05-08 00:00:00",3,-3
"2016-05-15 00:00:00",112,-82
"2016-05-22 00:00:00",0,0
"2016-05-29 00:00:00",4,-1
"2016-06-05 00:00:00",173,-133
"2016-06-12 00:00:00",481,-391
"2016-06-19 00:00:00",70,-61
"2016-06-26 00:00:00",0,0
"2016-07-03 00:00:00",193,-84
"2016-07-10 00:00:00",9,-6
"2016-07-17 00:00:00",10,-7
"2016-07-24 00:00:00",11,-3
"2016-07-31 00:00:00",4,-4
"2016-08-07 00:00:00",15,-14
"2016-08-14 00:00:00",37,-27
"2016-08-21 00:00:00",1285,-2066
"2016-08-28 00:00:00",3536,-3426
"2016-09-04 00:00:00",0,0
"2016-09-11 00:00:00",0,0
"2016-09-18 00:00:00",7,-2
"2016-09-25 00:00:00",5,-3
"2016-10-02 00:00:00",1373,-1372
"2016-10-09 00:00:00",1,-1
"2016-10-16 00:00:00",0,0
"2016-10-23 00:00:00",0,0
"2016-10-30 00:00:00",0,0
"2016-11-06 00:00:00",0,0
"2016-11-13 00:00:00",2,-2
"2016-11-20 00:00:00",0,0
"2016-11-27 00:00:00",23,-8
"2016-12-04 00:00:00",0,0
"2016-12-11 00:00:00",0,0
"2016-12-18 00:00:00",0,0
"2016-12-25 00:00:00",0,0
"2017-01-01 00:00:00",0,0
"2017-01-08 00:00:00",0,0
"2017-01-15 00:00:00",0,0
"2017-01-22 00:00:00",0,0
"2017-01-29 00:00:00",0,0
"2017-02-05 00:00:00",0,0
"2017-02-12 00:00:00",3,-1
"2017-02-19 00:00:00",0,0
"2017-02-26 00:00:00",0,0
"2017-03-05 00:00:00",0,0
"2017-03-12 00:00:00",0,0
"2017-03-19 00:00:00",0,0
"2017-03-26 00:00:00",0,0
"2017-04-02 00:00:00",0,0
"2017-04-09 00:00:00",2463,-143
"2017-04-16 00:00:00",4261,-116
"2017-04-23 00:00:00",3957,-4130
"2017-04-30 00:00:00",0,0
"2017-05-07 00:00:00",0,0
"2017-05-14 00:00:00",0,0
"2017-05-21 00:00:00",0,0
"2017-05-28 00:00:00",6,-5
"2017-06-04 00:00:00",0,0
"2017-06-11 00:00:00",0,0
"2017-06-18 00:00:00",20,-6
"2017-06-25 00:00:00",0,0
"2017-07-02 00:00:00",133,-54
"2017-07-09 00:00:00",67,-15
"2017-07-16 00:00:00",100995,-51316
"2017-07-23 00:00:00",0,0
"2017-07-30 00:00:00",1747,-1632
"2017-08-06 00:00:00",0,0
"2017-08-13 00:00:00",2699,-963
"2017-08-20 00:00:00",1527,-995
"2017-08-27 00:00:00",0,0
"2017-09-03 00:00:00",8,-2
"2017-09-10 00:00:00",0,0
"2017-09-17 00:00:00",0,0
"2017-09-24 00:00:00",0,0
"2017-10-01 00:00:00",0,0
"2017-10-08 00:00:00",0,0
"2017-10-15 00:00:00",0,0
"2017-10-22 00:00:00",0,0
"2017-10-29 00:00:00",1,-1
"2017-11-05 00:00:00",0,0
"2017-11-12 00:00:00",0,0
"2017-11-19 00:00:00",0,0
"2017-11-26 00:00:00",5,-5
"2017-12-03 00:00:00",134,-134
"2017-12-10 00:00:00",0,0
"2017-12-17 00:00:00",0,0
"2017-12-24 00:00:00",2,-2
"2017-12-31 00:00:00",0,0
"2018-01-07 00:00:00",2,0
"2018-01-14 00:00:00",71,-73
"2018-01-21 00:00:00",10,-23
"2018-01-28 00:00:00",16,-10
"2018-02-04 00:00:00",4826,-54106
"2018-02-11 00:00:00",0,0
"2018-02-18 00:00:00",0,0
"2018-02-25 00:00:00",2,-2
"2018-03-04 00:00:00",0,0
"2018-03-11 00:00:00",0,0
"2018-03-18 00:00:00",9,-1
